type,id,username,text,url,epoch,media,retweetedTweet,retweetedTweetID,retweetedUserID,id_str,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,conversationId,conversationIdStr,hashtags,mentionedUsers,links,viewCount,quotedTweet,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,location,cash_app_handle,user
tweet-,1888414681468899770,DilbendRenas,"The focus remains on $Mahoom liquidity and Mahomes themed rewards. 

Powered by cutting edge blockchain technology, it celebrates his legacy. 

Unrivaled security and game changing performance redefine sports innovation. 🚀🏈

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/xydwkqTLFN",https://twitter.com/DilbendRenas/status/1888414681468899770,1739068119,"[{'display_url': 'pic.x.com/xydwkqTLFN', 'expanded_url': 'https://x.com/DilbendRenas/status/1888414681468899770/photo/1', 'id_str': '1888414667615178752', 'indices': [270, 293], 'media_key': '3_1888414667615178752', 'media_url_https': 'https://pbs.twimg.com/media/GjT_IovXEAAjSHB.jpg', 'type': 'photo', 'url': 'https://t.co/xydwkqTLFN', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'medium': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1062, 'width': 1062, 'focus_rects': [{'x': 0, 'y': 154, 'w': 1062, 'h': 595}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}, {'x': 0, 'y': 0, 'w': 932, 'h': 1062}, {'x': 0, 'y': 0, 'w': 531, 'h': 1062}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}]}, 'media_results': {'result': {'media_key': '3_1888414667615178752'}}}]",False,,,1888414681468899770,en,"The focus remains on $Mahoom liquidity and Mahomes themed rewards. 

Powered by cutting edge blockchain technology, it celebrates his legacy. 

Unrivaled security and game changing performance redefine sports innovation. 🚀🏈

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/xydwkqTLFN",0,0,1,0,1888414681468899770,1888414681468899770,[],[],[],"{'count': '52', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 3795403403, 'id_str': '3795403403', 'url': 'https://twitter.com/JB Murdock', 'username': 'JB Murdock', 'rawDescription': 'Retired Cryptodegen\nDead till nfts come back', 'created': datetime.datetime(2015, 9, 27, 18, 17, 57, tzinfo=datetime.timezone.utc), 'followersCount': 54, 'friendsCount': 69, 'statusesCount': 973, 'favouritesCount': 770, 'listedCount': 1, 'mediaCount': 80, 'location': 'Olympia, Greece', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1865694539417067520/EmsjP3zK_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888413667546312763,PoLoch3,my normie friend from the gym posting $Mahoom memes LMFAOOOOOO https://t.co/r6Jt5AmBjf,https://twitter.com/PoLoch3/status/1888413667546312763,1739067878,"[{'display_url': 'pic.x.com/r6Jt5AmBjf', 'expanded_url': 'https://x.com/PoLoch3/status/1888413667546312763/photo/1', 'id_str': '1888413653138882560', 'indices': [63, 86], 'media_key': '3_1888413653138882560', 'media_url_https': 'https://pbs.twimg.com/media/GjT-NlhXQAAT0CA.jpg', 'type': 'photo', 'url': 'https://t.co/r6Jt5AmBjf', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'medium': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1062, 'width': 1062, 'focus_rects': [{'x': 0, 'y': 154, 'w': 1062, 'h': 595}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}, {'x': 0, 'y': 0, 'w': 932, 'h': 1062}, {'x': 0, 'y': 0, 'w': 531, 'h': 1062}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}]}, 'media_results': {'result': {'media_key': '3_1888413653138882560'}}}]",False,,,1888413667546312763,en,my normie friend from the gym posting $Mahoom memes LMFAOOOOOO https://t.co/r6Jt5AmBjf,0,1,4,0,1888413667546312763,1888413667546312763,[],[],[],"{'count': '405', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 331638179, 'id_str': '331638179', 'url': 'https://twitter.com/Po Loch', 'username': 'Po Loch', 'rawDescription': '', 'created': datetime.datetime(2011, 7, 8, 13, 53, 29, tzinfo=datetime.timezone.utc), 'followersCount': 350, 'friendsCount': 159, 'statusesCount': 1981, 'favouritesCount': 1514, 'listedCount': 0, 'mediaCount': 117, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1819155479496392704/lLq9Yujv_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888412934734278847,Jabibi888,$MAHOOM,https://twitter.com/Jabibi888/status/1888412934734278847,1739067703,[],False,,,1888412934734278847,qct,$MAHOOM,0,0,0,0,1888412934734278847,1888412934734278847,[],[],[],"{'count': '187', 'state': 'EnabledWithCount'}",True,,,,,,"{'id': 1619715097529556992, 'id_str': '1619715097529556992', 'url': 'https://twitter.com/Jabibi', 'username': 'Jabibi', 'rawDescription': 'Aspiring Crypto Millionaire', 'created': datetime.datetime(2023, 1, 29, 15, 12, 43, tzinfo=datetime.timezone.utc), 'followersCount': 402, 'friendsCount': 915, 'statusesCount': 816, 'favouritesCount': 802, 'listedCount': 3, 'mediaCount': 69, 'location': 'Austin, TX', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1881540515272830976/sZO11dG3_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888412927176110204,370_mehmet,"🚀🔥 $Mahoom electrifies the blockchain with unmatched liquidity, security, and Mahomes themed rewards. 

This token redefines sports innovation and financial greatness.

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/ymxV1fCzeS",https://twitter.com/370_mehmet/status/1888412927176110204,1739067701,"[{'display_url': 'pic.x.com/ymxV1fCzeS', 'expanded_url': 'https://x.com/370_mehmet/status/1888412927176110204/photo/1', 'id_str': '1888412913645322241', 'indices': [214, 237], 'media_key': '3_1888412913645322241', 'media_url_https': 'https://pbs.twimg.com/media/GjT9iisXAAEoRuM.jpg', 'type': 'photo', 'url': 'https://t.co/ymxV1fCzeS', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 624, 'y': 336, 'h': 395, 'w': 395}]}, 'medium': {'faces': [{'x': 499, 'y': 268, 'h': 316, 'w': 316}]}, 'small': {'faces': [{'x': 282, 'y': 152, 'h': 179, 'w': 179}]}, 'orig': {'faces': [{'x': 624, 'y': 336, 'h': 395, 'w': 395}]}}, 'sizes': {'large': {'h': 1000, 'w': 1500, 'resize': 'fit'}, 'medium': {'h': 800, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 453, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1000, 'width': 1500, 'focus_rects': [{'x': 0, 'y': 160, 'w': 1500, 'h': 840}, {'x': 287, 'y': 0, 'w': 1000, 'h': 1000}, {'x': 349, 'y': 0, 'w': 877, 'h': 1000}, {'x': 537, 'y': 0, 'w': 500, 'h': 1000}, {'x': 0, 'y': 0, 'w': 1500, 'h': 1000}]}, 'media_results': {'result': {'media_key': '3_1888412913645322241'}}}]",False,,,1888412927176110204,en,"🚀🔥 $Mahoom electrifies the blockchain with unmatched liquidity, security, and Mahomes themed rewards. 

This token redefines sports innovation and financial greatness.

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/ymxV1fCzeS",1,2,6,0,1888412927176110204,1888412927176110204,[],[],[],"{'count': '230', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 2999558997, 'id_str': '2999558997', 'url': 'https://twitter.com/Lorraine Ruiz', 'username': 'Lorraine Ruiz', 'rawDescription': 'Crypto Investor 🐸 #Memecoin #SOL #ETH #Bitcoin', 'created': datetime.datetime(2015, 1, 26, 13, 3, 16, tzinfo=datetime.timezone.utc), 'followersCount': 45, 'friendsCount': 124, 'statusesCount': 1961, 'favouritesCount': 1680, 'listedCount': 0, 'mediaCount': 110, 'location': 'Virginia Beach, VA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1838322446740455424/O6x4bnmd_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888412730052231466,j_danpullo,The game is won $Mahoom 🏈 https://t.co/WWD1Pwkutv,https://twitter.com/j_danpullo/status/1888412730052231466,1739067654,"[{'display_url': 'pic.x.com/WWD1Pwkutv', 'expanded_url': 'https://x.com/j_danpullo/status/1888412730052231466/photo/1', 'id_str': '1888412705523912704', 'indices': [26, 49], 'media_key': '3_1888412705523912704', 'media_url_https': 'https://pbs.twimg.com/media/GjT9WbYWUAAEUbe.jpg', 'type': 'photo', 'url': 'https://t.co/WWD1Pwkutv', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'medium': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1062, 'width': 1062, 'focus_rects': [{'x': 0, 'y': 154, 'w': 1062, 'h': 595}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}, {'x': 0, 'y': 0, 'w': 932, 'h': 1062}, {'x': 0, 'y': 0, 'w': 531, 'h': 1062}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}]}, 'media_results': {'result': {'media_key': '3_1888412705523912704'}}}]",False,,,1888412730052231466,en,The game is won $Mahoom 🏈 https://t.co/WWD1Pwkutv,1,2,5,0,1888412730052231466,1888412730052231466,[],[],[],"{'count': '242', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 2742854506, 'id_str': '2742854506', 'url': 'https://twitter.com/Sofyan A Uli', 'username': 'Sofyan A Uli', 'rawDescription': 'Cooking🤳', 'created': datetime.datetime(2014, 8, 14, 17, 58, 42, tzinfo=datetime.timezone.utc), 'followersCount': 55, 'friendsCount': 79, 'statusesCount': 1036, 'favouritesCount': 792, 'listedCount': 0, 'mediaCount': 114, 'location': 'Night City', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1865695259180580865/yoZDF8VG_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888412682102997196,VishwasMayur,"$Mahoom is poised to dominate with unrivaled liquidity, security, and Mahomes themed rewards. 

The ultimate bridge between sports fandom and crypto innovation. ⚡🚀

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/T1FfcXBweZ",https://twitter.com/VishwasMayur/status/1888412682102997196,1739067643,"[{'display_url': 'pic.x.com/T1FfcXBweZ', 'expanded_url': 'https://x.com/VishwasMayur/status/1888412682102997196/photo/1', 'id_str': '1888412667657805824', 'indices': [210, 233], 'media_key': '3_1888412667657805824', 'media_url_https': 'https://pbs.twimg.com/media/GjT9UOUXYAAwJZ7.jpg', 'type': 'photo', 'url': 'https://t.co/T1FfcXBweZ', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'medium': {'h': 1062, 'w': 1062, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1062, 'width': 1062, 'focus_rects': [{'x': 0, 'y': 154, 'w': 1062, 'h': 595}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}, {'x': 0, 'y': 0, 'w': 932, 'h': 1062}, {'x': 0, 'y': 0, 'w': 531, 'h': 1062}, {'x': 0, 'y': 0, 'w': 1062, 'h': 1062}]}, 'media_results': {'result': {'media_key': '3_1888412667657805824'}}}]",False,,,1888412682102997196,en,"$Mahoom is poised to dominate with unrivaled liquidity, security, and Mahomes themed rewards. 

The ultimate bridge between sports fandom and crypto innovation. ⚡🚀

8WxMUeXAd8aYtyEzkcU9KiABgFyFTfzdJQpcvh7ppump https://t.co/T1FfcXBweZ",1,1,6,0,1888412682102997196,1888412682102997196,[],[],[],"{'count': '160', 'state': 'EnabledWithCount'}",False,,,,,,"{'id': 479370865, 'id_str': '479370865', 'url': 'https://twitter.com/vishwas_mayur', 'username': 'vishwas_mayur', 'rawDescription': '', 'created': datetime.datetime(2012, 1, 31, 9, 32, 15, tzinfo=datetime.timezone.utc), 'followersCount': 96, 'friendsCount': 156, 'statusesCount': 1959, 'favouritesCount': 1549, 'listedCount': 1, 'mediaCount': 116, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1819155709591801856/F7vjkW3f_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888412632408842634,Yolandakumulcan,"@mahoomsonsol Congratulations🎉👏
$MAHOOM 🎉🎉",https://twitter.com/Yolandakumulcan/status/1888412632408842634,1739067631,[],False,,,1888412632408842634,en,"@mahoomsonsol Congratulations🎉👏
$MAHOOM 🎉🎉",0,0,0,0,1888411755170132234,1888411755170132234,[],"[{'id_str': '1376128904', 'name': 'Patrick Mahomes', 'screen_name': 'mahoomsonsol', 'indices': [0, 13]}]",[],"{'count': '58', 'state': 'EnabledWithCount'}",False,mahoomsonsol,1888411755170132234,1376128904,,,"{'id': 2426422554, 'id_str': '2426422554', 'url': 'https://twitter.com/Claude Grau', 'username': 'Claude Grau', 'rawDescription': 'Proverbs 4:13 🕯️| Y-DNA E-U290 and MtDNA L3e1a1a 🧬 | Building around strengths ✍🏾', 'created': datetime.datetime(2014, 4, 4, 1, 11, 6, tzinfo=datetime.timezone.utc), 'followersCount': 37, 'friendsCount': 43, 'statusesCount': 211, 'favouritesCount': 166, 'listedCount': 0, 'mediaCount': 0, 'location': 'skid row', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1878888603708723200/-iX3rjzK_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888412578864672871,MeenaRitik,@mahoomsonsol $MAHOOM 🤑,https://twitter.com/MeenaRitik/status/1888412578864672871,1739067618,[],False,,,1888412578864672871,qme,@mahoomsonsol $MAHOOM 🤑,0,0,0,0,1888411755170132234,1888411755170132234,[],"[{'id_str': '1376128904', 'name': 'Patrick Mahomes', 'screen_name': 'mahoomsonsol', 'indices': [0, 13]}]",[],"{'count': '123', 'state': 'EnabledWithCount'}",False,mahoomsonsol,1888411755170132234,1376128904,,,"{'id': 1200397100, 'id_str': '1200397100', 'url': 'https://twitter.com/Beau', 'username': 'Beau', 'rawDescription': 'Lover of Art, Football, good movies, good clothes, classic music, fast cars, cigares & Chelsea. https://t.co/A3Rf1HfFnP', 'created': datetime.datetime(2013, 2, 20, 10, 25, 13, tzinfo=datetime.timezone.utc), 'followersCount': 39, 'friendsCount': 39, 'statusesCount': 210, 'favouritesCount': 160, 'listedCount': 0, 'mediaCount': 1, 'location': 'Chicago, IL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1878884946179182592/vddb_wbF_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888412548728283460,WanFender,@mahoomsonsol Send it $MAHOOM,https://twitter.com/WanFender/status/1888412548728283460,1739067611,[],False,,,1888412548728283460,en,@mahoomsonsol Send it $MAHOOM,0,0,0,0,1888411755170132234,1888411755170132234,[],"[{'id_str': '1376128904', 'name': 'Patrick Mahomes', 'screen_name': 'mahoomsonsol', 'indices': [0, 13]}]",[],"{'count': '132', 'state': 'EnabledWithCount'}",False,mahoomsonsol,1888411755170132234,1376128904,,,"{'id': 1716558566, 'id_str': '1716558566', 'url': 'https://twitter.com/Marc Nickel', 'username': 'Marc Nickel', 'rawDescription': 'Knowledge seeker \n\nHere to document the Journey as an Entrepreneur and CFD - Futures Trader', 'created': datetime.datetime(2013, 8, 31, 19, 16, 1, tzinfo=datetime.timezone.utc), 'followersCount': 39, 'friendsCount': 28, 'statusesCount': 221, 'favouritesCount': 176, 'listedCount': 0, 'mediaCount': 0, 'location': 'Money Island', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1878886367205249024/b4owGEVj_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
tweet-,1888412513441640559,LoveJonghyun1,@mahoomsonsol Can't wait to see more ☺️ $MAHOOM,https://twitter.com/LoveJonghyun1/status/1888412513441640559,1739067602,[],False,,,1888412513441640559,en,@mahoomsonsol Can't wait to see more ☺️ $MAHOOM,0,0,0,0,1888411755170132234,1888411755170132234,[],"[{'id_str': '1376128904', 'name': 'Patrick Mahomes', 'screen_name': 'mahoomsonsol', 'indices': [0, 13]}]",[],"{'count': '71', 'state': 'EnabledWithCount'}",False,mahoomsonsol,1888411755170132234,1376128904,,,"{'id': 1227409543, 'id_str': '1227409543', 'url': 'https://twitter.com/Linny', 'username': 'Linny', 'rawDescription': 'Pretending to be serious', 'created': datetime.datetime(2013, 2, 28, 12, 4, 26, tzinfo=datetime.timezone.utc), 'followersCount': 36, 'friendsCount': 41, 'statusesCount': 210, 'favouritesCount': 160, 'listedCount': 0, 'mediaCount': 0, 'location': 'United States', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1878885220885123072/GWwqdByR_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}"
